league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Serie A,2025,2025-08-23,Sassuolo,Napoli,0,2,0,0,A
Serie A,2025,2025-08-23,Genoa,Lecce,0,0,0,0,D
Serie A,2025,2025-08-23,AC Milan,Cremonese,1,2,1,0,A
Serie A,2025,2025-08-23,AS Roma,Bologna,1,0,0,1,H
Serie A,2025,2025-08-24,Cagliari,Fiorentina,1,1,0,1,D
Serie A,2025,2025-08-24,Como,Lazio,2,0,0,2,H
Serie A,2025,2025-08-24,Juventus,Parma,2,0,0,2,H
Serie A,2025,2025-08-24,Atalanta,Pisa,1,1,0,1,D
Serie A,2025,2025-08-25,Udinese,Verona,1,1,0,1,D
Serie A,2025,2025-08-25,Inter,Torino,5,0,2,3,H
Serie A,2025,2025-08-29,Cremonese,Sassuolo,3,2,2,1,H
Serie A,2025,2025-08-29,Lecce,AC Milan,0,2,0,0,A
Serie A,2025,2025-08-30,Bologna,Como,1,0,0,1,H
Serie A,2025,2025-08-30,Parma,Atalanta,1,1,0,1,D
Serie A,2025,2025-08-30,Napoli,Cagliari,1,0,0,1,H
Serie A,2025,2025-08-30,Pisa,AS Roma,0,1,0,0,A
Serie A,2025,2025-08-31,Genoa,Juventus,0,1,0,0,A
Serie A,2025,2025-08-31,Torino,Fiorentina,0,0,0,0,D
Serie A,2025,2025-08-31,Lazio,Verona,4,0,3,1,H
Serie A,2025,2025-08-31,Inter,Udinese,1,2,1,0,A
Serie A,2025,2025-09-13,Cagliari,Parma,2,0,1,1,H
Serie A,2025,2025-09-13,Juventus,Inter,4,3,2,2,H
Serie A,2025,2025-09-13,Fiorentina,Napoli,1,3,0,1,A
Serie A,2025,2025-09-14,AS Roma,Torino,0,1,0,0,A
Serie A,2025,2025-09-14,Atalanta,Lecce,4,1,1,3,H
Serie A,2025,2025-09-14,Pisa,Udinese,0,1,0,0,A
Serie A,2025,2025-09-14,Sassuolo,Lazio,1,0,0,1,H
Serie A,2025,2025-09-14,AC Milan,Bologna,1,0,0,1,H
Serie A,2025,2025-09-15,Verona,Cremonese,0,0,0,0,D
Serie A,2025,2025-09-15,Como,Genoa,1,1,1,0,D
Serie A,2025,2025-09-19,Lecce,Cagliari,1,2,1,0,A
Serie A,2025,2025-09-20,Bologna,Genoa,2,1,0,2,H
Serie A,2025,2025-09-20,Verona,Juventus,1,1,1,0,D
Serie A,2025,2025-09-20,Udinese,AC Milan,0,3,0,0,A
Serie A,2025,2025-09-21,Lazio,AS Roma,0,1,0,0,A
Serie A,2025,2025-09-21,Torino,Atalanta,0,3,0,0,A
Serie A,2025,2025-09-21,Cremonese,Parma,0,0,0,0,D
Serie A,2025,2025-09-21,Fiorentina,Como,1,2,1,0,A
Serie A,2025,2025-09-21,Inter,Sassuolo,2,1,1,1,H
Serie A,2025,2025-09-22,Napoli,Pisa,3,2,1,2,H
Serie A,2025,2025-09-27,Como,Cremonese,1,1,1,0,D
Serie A,2025,2025-09-27,Juventus,Atalanta,1,1,0,1,D
Serie A,2025,2025-09-27,Cagliari,Inter,0,2,0,0,A
Serie A,2025,2025-09-28,Sassuolo,Udinese,3,1,2,1,H
Serie A,2025,2025-09-28,AS Roma,Verona,2,0,1,1,H
Serie A,2025,2025-09-28,Pisa,Fiorentina,0,0,0,0,D
Serie A,2025,2025-09-28,Lecce,Bologna,2,2,1,1,D
Serie A,2025,2025-09-28,AC Milan,Napoli,2,1,2,0,H
Serie A,2025,2025-09-29,Parma,Torino,2,1,1,1,H
Serie A,2025,2025-09-29,Genoa,Lazio,0,3,0,0,A
Serie A,2025,2025-10-03,Verona,Sassuolo,0,1,0,0,A
Serie A,2025,2025-10-04,Lazio,Torino,3,3,2,1,D
Serie A,2025,2025-10-04,Parma,Lecce,0,1,0,0,A
Serie A,2025,2025-10-04,Inter,Cremonese,4,1,2,2,H
Serie A,2025,2025-10-04,Atalanta,Como,1,1,1,0,D
Serie A,2025,2025-10-05,Udinese,Cagliari,1,1,0,1,D
Serie A,2025,2025-10-05,Bologna,Pisa,4,0,3,1,H
Serie A,2025,2025-10-05,Fiorentina,AS Roma,1,2,1,0,A
Serie A,2025,2025-10-05,Napoli,Genoa,2,1,0,2,H
Serie A,2025,2025-10-05,Juventus,AC Milan,0,0,0,0,D
