,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
77,2025-08-08,Fortuna Sittard,GO Ahead Eagles,2,2,1,1,D
78,2025-08-09,NEC Nijmegen,Excelsior,5,0,1,4,H
79,2025-08-09,Feyenoord,NAC Breda,2,0,1,1,H
80,2025-08-09,Heerenveen,FC Volendam,1,1,1,0,D
81,2025-08-09,PSV Eindhoven,Sparta Rotterdam,6,1,3,3,H
82,2025-08-10,PEC Zwolle,Twente,1,0,1,0,H
83,2025-08-10,Ajax,Telstar,2,0,1,1,H
84,2025-08-10,AZ Alkmaar,Groningen,4,1,3,1,H
85,2025-08-10,Utrecht,Heracles,4,0,1,3,H
86,2025-08-15,Telstar,PEC Zwolle,0,2,0,0,A
87,2025-08-16,Excelsior,Feyenoord,1,2,1,0,A
88,2025-08-16,Heracles,NEC Nijmegen,1,4,1,0,A
89,2025-08-16,Groningen,Heerenveen,2,1,1,1,H
90,2025-08-17,GO Ahead Eagles,Ajax,2,2,2,0,D
91,2025-08-17,Twente,PSV Eindhoven,0,2,0,0,A
92,2025-08-17,Sparta Rotterdam,Utrecht,2,1,1,1,H
93,2025-08-17,FC Volendam,AZ Alkmaar,2,2,1,1,D
94,2025-08-17,NAC Breda,Fortuna Sittard,2,1,1,1,H
95,2025-08-23,GO Ahead Eagles,Sparta Rotterdam,0,3,0,0,A
96,2025-08-23,PSV Eindhoven,Groningen,4,2,1,3,H
97,2025-08-23,Telstar,FC Volendam,2,2,2,0,D
98,2025-08-24,Heerenveen,Twente,1,2,0,1,A
99,2025-08-24,Utrecht,Excelsior,4,1,2,2,H
100,2025-08-24,NEC Nijmegen,NAC Breda,3,0,1,2,H
101,2025-08-24,Ajax,Heracles,2,0,1,1,H
