,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
124,2025-08-08,Casa Pia,Sporting CP,0,2,0,0,A
125,2025-08-09,Nacional,GIL Vicente,0,2,0,0,A
126,2025-08-09,Arouca,AVS,3,1,1,2,H
127,2025-08-10,Famalicao,Santa Clara,3,0,2,1,H
128,2025-08-10,Moreirense,Alverca,2,1,1,1,H
129,2025-08-10,SC Braga,Tondela,3,0,2,1,H
130,2025-08-11,Estoril,Estrela,1,1,1,0,D
131,2025-08-11,FC Porto,Guimaraes,3,0,2,1,H
132,2025-08-15,AVS,Casa Pia,0,2,0,0,A
133,2025-08-16,Tondela,Famalicao,0,1,0,0,A
134,2025-08-16,Guimaraes,Estoril,3,2,1,2,H
135,2025-08-16,Estrela,Benfica,0,1,0,0,A
136,2025-08-17,Rio Ave,Nacional,1,1,1,0,D
137,2025-08-17,Santa Clara,Moreirense,0,1,0,0,A
138,2025-08-17,Alverca,SC Braga,0,3,0,0,A
139,2025-08-17,Sporting CP,Arouca,6,0,3,3,H
140,2025-08-18,GIL Vicente,FC Porto,0,2,0,0,A
141,2025-08-23,Moreirense,Guimaraes,2,0,0,2,H
142,2025-08-23,Nacional,Sporting CP,1,4,1,0,A
143,2025-08-23,Benfica,Tondela,3,0,2,1,H
144,2025-08-23,Arouca,Rio Ave,3,3,1,2,D
145,2025-08-24,Famalicao,GIL Vicente,0,0,0,0,D
146,2025-08-24,FC Porto,Casa Pia,4,0,3,1,H
147,2025-08-24,SC Braga,AVS,2,2,1,1,D
148,2025-08-25,Estrela,Alverca,2,2,1,1,D
