league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Turquie,2025,2025-08-08,Gazişehir Gaziantep,Galatasaray,0,3,0,3,A
Turquie,2025,2025-08-09,Samsunspor,Genclerbirligi,2,1,1,0,H
Turquie,2025,2025-08-09,Antalyaspor,Kasımpaşa,2,1,2,1,H
Turquie,2025,2025-08-10,Rizespor,Göztepe,0,3,0,0,A
Turquie,2025,2025-08-10,Eyüpspor,Konyaspor,1,4,0,3,A
Turquie,2025,2025-08-11,Trabzonspor,Kocaelispor,1,0,0,0,H
Turquie,2025,2025-08-15,Galatasaray,Fatih Karagümrük,3,0,1,0,H
Turquie,2025,2025-08-16,Kocaelispor,Samsunspor,0,1,0,0,A
Turquie,2025,2025-08-16,Göztepe,Fenerbahçe,0,0,0,0,D
Turquie,2025,2025-08-16,Alanyaspor,Rizespor,0,0,0,0,D
Turquie,2025,2025-08-17,Konyaspor,Gazişehir Gaziantep,3,0,1,0,H
Turquie,2025,2025-08-17,Genclerbirligi,Antalyaspor,0,1,0,0,A
Turquie,2025,2025-08-17,Beşiktaş,Eyüpspor,2,1,1,1,H
Turquie,2025,2025-08-17,Başakşehir,Kayserispor,1,1,1,0,D
Turquie,2025,2025-08-18,Kasımpaşa,Trabzonspor,0,1,0,0,A
Turquie,2025,2025-08-22,Fatih Karagümrük,Göztepe,0,2,0,1,A
Turquie,2025,2025-08-23,Fenerbahçe,Kocaelispor,3,1,1,1,H
Turquie,2025,2025-08-23,Gazişehir Gaziantep,Genclerbirligi,2,1,1,1,H
Turquie,2025,2025-08-24,Trabzonspor,Antalyaspor,1,0,1,0,H
Turquie,2025,2025-08-24,Kayserispor,Galatasaray,0,4,0,1,A
Turquie,2025,2025-08-25,Eyüpspor,Alanyaspor,2,1,1,0,H
Turquie,2025,2025-08-29,Göztepe,Konyaspor,1,1,0,0,D
Turquie,2025,2025-08-30,Kasımpaşa,Gazişehir Gaziantep,2,3,0,2,A
Turquie,2025,2025-08-30,Kocaelispor,Kayserispor,1,1,0,0,D
Turquie,2025,2025-08-30,Galatasaray,Rizespor,3,1,1,0,H
Turquie,2025,2025-08-30,Antalyaspor,Fatih Karagümrük,1,2,1,1,A
Turquie,2025,2025-08-31,Başakşehir,Eyüpspor,0,0,0,0,D
Turquie,2025,2025-08-31,Genclerbirligi,Fenerbahçe,1,3,0,3,A
Turquie,2025,2025-08-31,Alanyaspor,Beşiktaş,2,0,1,0,H
Turquie,2025,2025-08-31,Trabzonspor,Samsunspor,1,1,1,0,D
Turquie,2025,2025-09-13,Eyüpspor,Galatasaray,0,2,0,0,A
Turquie,2025,2025-09-13,Fatih Karagümrük,Kasımpaşa,0,1,0,1,A
Turquie,2025,2025-09-13,Samsunspor,Antalyaspor,1,2,0,1,A
Turquie,2025,2025-09-13,Beşiktaş,Başakşehir,2,1,0,0,H
Turquie,2025,2025-09-13,Konyaspor,Alanyaspor,1,2,0,1,A
Turquie,2025,2025-09-14,Kayserispor,Göztepe,1,1,0,0,D
Turquie,2025,2025-09-14,Fenerbahçe,Trabzonspor,1,0,1,0,H
Turquie,2025,2025-09-14,Gazişehir Gaziantep,Kocaelispor,2,0,0,0,H
Turquie,2025,2025-09-15,Rizespor,Genclerbirligi,1,0,0,0,H
Turquie,2025,2025-09-17,Fenerbahçe,Alanyaspor,2,2,0,1,D
Turquie,2025,2025-09-17,Fatih Karagümrük,Başakşehir,0,2,0,0,A
Turquie,2025,2025-09-17,Samsunspor,Kasımpaşa,0,0,0,0,D
Turquie,2025,2025-09-19,Göztepe,Beşiktaş,3,0,2,0,H
Turquie,2025,2025-09-20,Genclerbirligi,Eyüpspor,1,0,1,0,H
Turquie,2025,2025-09-20,Trabzonspor,Gazişehir Gaziantep,1,1,0,1,D
Turquie,2025,2025-09-20,Antalyaspor,Kayserispor,1,1,0,0,D
Turquie,2025,2025-09-21,Başakşehir,Alanyaspor,1,1,1,0,D
Turquie,2025,2025-09-21,Kocaelispor,Rizespor,1,1,1,1,D
Turquie,2025,2025-09-21,Kasımpaşa,Fenerbahçe,1,1,0,1,D
Turquie,2025,2025-09-21,Samsunspor,Fatih Karagümrük,3,2,0,1,H
Turquie,2025,2025-09-22,Galatasaray,Konyaspor,3,1,2,0,H
Turquie,2025,2025-09-24,Kayserispor,Beşiktaş,0,4,0,3,A
